country,parameter,mode,powertrain,year,unit,value
China,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,67000000
China,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,60000000
China,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,46000000
China,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,42000000
China,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,33000000
China,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,26000000
China,EV stock,Cars,BEV,2024,Vehicles,23000000
China,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,19000000
China,EV stock,Cars,BEV,2023,Vehicles,16000000
China,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,15000000
China,EV stock,2 and 3 wheelers,BEV,2016,Vehicles,12000000
China,EV stock,Cars,BEV,2022,Vehicles,11000000
China,EV stock,Cars,PHEV,2024,Vehicles,11000000
China,EV stock,2 and 3 wheelers,BEV,2015,Vehicles,8800000
India,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,6600000
China,EV stock,Cars,BEV,2021,Vehicles,6200000
China,EV stock,2 and 3 wheelers,BEV,2014,Vehicles,6100000
China,EV stock,Cars,PHEV,2023,Vehicles,5800000
India,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,4700000
USA,EV stock,Cars,BEV,2024,Vehicles,4700000
China,EV stock,2 and 3 wheelers,BEV,2013,Vehicles,3700000
China,EV stock,Cars,BEV,2020,Vehicles,3500000
USA,EV stock,Cars,BEV,2023,Vehicles,3500000
India,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,3200000
China,EV stock,Cars,PHEV,2022,Vehicles,3100000
India,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,2700000
China,EV stock,Cars,BEV,2019,Vehicles,2600000
India,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,2200000
USA,EV stock,Cars,BEV,2022,Vehicles,2100000
India,EV stock,2 and 3 wheelers,BEV,2019,Vehicles,2000000
Germany,EV stock,Cars,BEV,2024,Vehicles,1900000
China,EV stock,2 and 3 wheelers,BEV,2012,Vehicles,1700000
China,EV stock,Cars,BEV,2018,Vehicles,1700000
China,EV stock,Cars,PHEV,2021,Vehicles,1600000
USA,EV stock,Cars,PHEV,2024,Vehicles,1600000
Viet Nam,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,1600000
Germany,EV stock,Cars,BEV,2023,Vehicles,1500000
India,EV stock,2 and 3 wheelers,BEV,2018,Vehicles,1500000
USA,EV stock,Cars,BEV,2021,Vehicles,1500000
United Kingdom,EV stock,Cars,BEV,2024,Vehicles,1400000
USA,EV stock,Cars,PHEV,2023,Vehicles,1300000
Viet Nam,EV stock,2 and 3 wheelers,BEV,2023,Vehicles,1300000
Germany,EV stock,Cars,PHEV,2024,Vehicles,1200000
China,EV stock,Vans,BEV,2024,Vehicles,1100000
France,EV stock,Cars,BEV,2024,Vehicles,1100000
USA,EV stock,Cars,BEV,2020,Vehicles,1100000
Viet Nam,EV stock,2 and 3 wheelers,BEV,2022,Vehicles,1100000
Germany,EV stock,Cars,BEV,2022,Vehicles,1000000
Germany,EV stock,Cars,PHEV,2023,Vehicles,1000000
China,EV stock,Cars,PHEV,2020,Vehicles,990000
France,EV stock,Cars,BEV,2023,Vehicles,980000
United Kingdom,EV stock,Cars,BEV,2023,Vehicles,980000
China,EV stock,Cars,BEV,2017,Vehicles,930000
USA,EV stock,Cars,PHEV,2022,Vehicles,910000
USA,EV stock,Cars,BEV,2019,Vehicles,880000
Germany,EV stock,Cars,PHEV,2022,Vehicles,860000
Viet Nam,EV stock,2 and 3 wheelers,BEV,2021,Vehicles,820000
China,EV stock,Cars,PHEV,2019,Vehicles,770000
India,EV stock,2 and 3 wheelers,BEV,2017,Vehicles,770000
United Kingdom,EV stock,Cars,PHEV,2024,Vehicles,770000
Norway,EV stock,Cars,BEV,2024,Vehicles,750000
USA,EV stock,Cars,PHEV,2021,Vehicles,720000
Norway,EV stock,Cars,BEV,2023,Vehicles,690000
China,EV stock,Vans,BEV,2023,Vehicles,680000
China,EV stock,Buses,BEV,2024,Vehicles,650000
France,EV stock,Cars,PHEV,2024,Vehicles,650000
USA,EV stock,Cars,BEV,2018,Vehicles,640000
USA,EV stock,Cars,PHEV,2020,Vehicles,640000
Germany,EV stock,Cars,PHEV,2021,Vehicles,630000
Canada,EV stock,Cars,BEV,2024,Vehicles,620000
France,EV stock,Cars,BEV,2022,Vehicles,620000
Germany,EV stock,Cars,BEV,2021,Vehicles,620000
China,EV stock,Buses,BEV,2023,Vehicles,600000
United Kingdom,EV stock,Cars,PHEV,2023,Vehicles,600000
France,EV stock,Cars,PHEV,2023,Vehicles,590000
Netherlands,EV stock,Cars,BEV,2024,Vehicles,590000
Norway,EV stock,Cars,BEV,2022,Vehicles,590000
China,EV stock,Buses,BEV,2022,Vehicles,570000
USA,EV stock,Cars,PHEV,2019,Vehicles,570000
Viet Nam,EV stock,2 and 3 wheelers,BEV,2020,Vehicles,570000
United Kingdom,EV stock,Cars,BEV,2022,Vehicles,550000
China,EV stock,Cars,PHEV,2018,Vehicles,540000
Korea,EV stock,Cars,BEV,2024,Vehicles,540000
China,EV stock,Buses,BEV,2021,Vehicles,530000
China,EV stock,Buses,BEV,2020,Vehicles,480000
USA,EV stock,Cars,PHEV,2018,Vehicles,480000
China,EV stock,Vans,BEV,2022,Vehicles,460000
China,EV stock,Cars,BEV,2016,Vehicles,460000
Indonesia,EV stock,2 and 3 wheelers,BEV,2024,Vehicles,460000
Netherlands,EV stock,Cars,BEV,2023,Vehicles,460000
Norway,EV stock,Cars,BEV,2021,Vehicles,450000
France,EV stock,Cars,BEV,2021,Vehicles,440000
China,EV stock,Buses,BEV,2019,Vehicles,430000
France,EV stock,Cars,PHEV,2022,Vehicles,430000
Korea,EV stock,Cars,BEV,2023,Vehicles,420000
