REF_AREA,REF_AREA_LABEL,YEAR,WB_WDI_NY_GDP_PCAP_KD,WB_WDI_NY_GDP_MKTP_KD,WB_WDI_NY_GDP_MKTP_KD_ZG,WB_WDI_SP_URB_TOTL_IN_ZS,WB_WDI_SP_URB_GROW,WB_WDI_SE_PRM_ENRR,WB_WDI_SE_SEC_ENRR,WB_WDI_SE_TER_ENRR,WB_WDI_SP_POP_GROW,WB_WDI_SP_POP_TOTL,WB_WDI_EG_ELC_RNWX_ZS,WB_WDI_EG_ELC_ACCS_UR_ZS,WB_WDI_EG_ELC_ACCS_ZS,WB_WDI_EG_ELC_COAL_ZS,WB_WDI_EG_ELC_FOSL_ZS,WB_WDI_EG_ELC_HYRO_ZS,WB_WDI_EG_ELC_NGAS_ZS,WB_WDI_EG_ELC_NUCL_ZS,WB_WDI_EG_ELC_PETR_ZS,WB_WDI_EG_ELC_RNEW_ZS,WB_WDI_EG_ELC_RNWX_KH,WB_WDI_EG_USE_PCAP_KG_OE,WB_WDI_EG_FEC_RNEW_ZS,WB_WDI_EG_USE_COMM_CL_ZS,WB_WDI_EG_USE_COMM_FO_ZS,WB_WDI_EG_USE_COMM_GD_PP_KD,WB_WDI_EG_USE_CRNW_ZS,WB_WDI_EG_USE_ELEC_KH_PC,WB_WDI_EN_GHG_ALL_PC_CE_AR5,WB_WDI_EN_GHG_CH4_AG_MT_CE_AR5,WB_WDI_EN_GHG_CH4_BU_MT_CE_AR5,WB_WDI_EN_GHG_CH4_FE_MT_CE_AR5,WB_WDI_EN_GHG_CH4_IC_MT_CE_AR5,WB_WDI_EN_GHG_CH4_MT_CE_AR5,WB_WDI_EN_GHG_CH4_PI_MT_CE_AR5,WB_WDI_EN_GHG_CH4_TR_MT_CE_AR5,WB_WDI_EN_GHG_CH4_WA_MT_CE_AR5,WB_WDI_EN_GHG_CH4_ZG_AR5,WB_WDI_EN_GHG_CO2_BU_MT_CE_AR5,WB_WDI_EN_GHG_CO2_FE_MT_CE_AR5,WB_WDI_EN_GHG_CO2_IC_MT_CE_AR5,WB_WDI_EN_GHG_CO2_IP_MT_CE_AR5,WB_WDI_EN_GHG_CO2_MT_CE_AR5,WB_WDI_EN_GHG_CO2_PC_CE_AR5,WB_WDI_EN_GHG_CO2_PI_MT_CE_AR5,WB_WDI_EN_GHG_CO2_RT_GDP_KD,WB_WDI_EN_GHG_CO2_RT_GDP_PP_KD,WB_WDI_EN_GHG_CO2_TR_MT_CE_AR5,WB_WDI_EN_GHG_CO2_ZG_AR5,WB_WDI_EN_GHG_N2O_AG_MT_CE_AR5,WB_WDI_EN_GHG_N2O_BU_MT_CE_AR5,WB_WDI_EN_GHG_N2O_FE_MT_CE_AR5,WB_WDI_EN_GHG_N2O_IC_MT_CE_AR5,WB_WDI_EN_GHG_N2O_IP_MT_CE_AR5,WB_WDI_EN_GHG_N2O_MT_CE_AR5,WB_WDI_EN_GHG_N2O_PI_MT_CE_AR5,WB_WDI_EN_GHG_N2O_TR_MT_CE_AR5,WB_WDI_EN_GHG_N2O_WA_MT_CE_AR5,WB_WDI_EN_GHG_N2O_ZG_AR5,WB_WDI_EN_GHG_TOT_ZG_AR5
ALB,Albania,1995,1558.966385654608,4969648100.727588,13.32233332688135,38.911,0.8241712600000908,104.104759216309,67.4602584838867,9.96251010894775,-0.617703658436963,3187784.0,0.0,100.0,100.0,0.0,6.013860943438408,93.9861390565616,0.0,0.0,6.013860943438408,93.9861390565616,0.0,417.0346110742321,50.6,27.19,49.54,80.96027162909833,23.74416097736265,663.7839954024488,2.048288089782746,2.7875,0.1184,0.1975,0.0005,3.4974,0.0001,0.006,0.3861,-5.697414188260042,0.3252,0.141,0.4922,0.19,2.07,0.6493539085458738,0.2644,0.4165284861310278,0.1260611647648901,0.6275,-68.84875846501129,0.84,0.0149,0.0001,0.0009,0.0253,0.9786,0.0003,0.0046,0.0926,-16.20140435005993,-43.18765172146767
ALB,Albania,1996,1683.769655474242,5334237832.941029,7.336328947718911,39.473,0.812476342196282,107.015243530273,66.7441864013672,10.8271703720093,-0.62151139901728,3168033.0,0.0,100.0,100.0,0.0,4.279505182213306,95.7204948177867,0.0,0.0,4.279505182213306,95.7204948177867,0.0,447.8389305152472,51.6,34.7,45.45,80.49627304961686,21.23701621184831,904.3466403285572,1.976810216307722,2.6001,0.1166,0.1965,0.0004,3.3061,0.0001,0.0061,0.3852,-10.8555558551514,0.4544,0.1111,0.4593,0.1748,2.0549,0.6486359201435086,0.2178,0.3852284176963726,0.1165882878417684,0.6208,-69.0759969902182,0.7769,0.0146,0.0001,0.0008,0.025,0.9152,0.0002,0.0046,0.093,-21.6304161671519,-45.50991464443884
ALB,Albania,1997,1495.900353285225,4709514660.141163,-11.71157328122779,40.035,0.7882372949943721,109.209136962891,67.0927429199219,12.585599899292,-0.625430096900055,3148281.0,0.0,100.0,100.0,0.0,3.825554705432287,96.17444529456772,0.0,0.0,3.825554705432287,96.17444529456772,0.0,384.5849540666129,55.9,35.71,41.45,77.80835477704862,23.75081372181555,694.664802792381,1.750161437304993,2.4143,0.1057,0.1804,0.0002,3.083,0.0001,0.0052,0.3762,-16.87114083101895,0.376,0.1159,0.2408,0.1408,1.5805,0.5020199912269585,0.2022,0.3355972141623244,0.1015675448805839,0.4928,-76.21519939804364,0.7269,0.0137,0.0001,0.0005,0.0215,0.8596,0.0002,0.0038,0.093,-26.39150539475937,-52.05819143660108
ALB,Albania,1998,1630.438741318448,5100876515.377005,8.310025203830904,40.601,0.774515178812666,109.649749755859,68.6502532958984,13.4036703109741,-0.629334392525913,3128530.0,0.0,100.0,100.0,0.0,3.67978077901742,96.32021922098258,0.0,0.0,3.67978077901742,96.32021922098258,0.0,426.8189067310718,49.9,31.69,45.31,79.22746687452428,20.55735417747339,734.8499135376678,1.84428469600739,2.2883,0.1015,0.1813,0.0004,2.9543,0.0001,0.0058,0.3758,-20.34135950602637,0.2917,0.114,0.4015,0.1132,1.9147,0.6120126704874174,0.2147,0.3753668598383008,0.1136037153302168,0.7394,-71.18585402558314,0.771,0.0129,0.0001,0.0008,0.0257,0.9104,0.0002,0.0052,0.0945,-22.04144545298853,-49.79683462251264
ALB,Albania,1999,1841.80762760566,5725771032.932669,12.25072819684752,41.169,0.755983737416337,109.397300720215,69.28466796875,14.5365200042725,-0.63335227398725,3108778.0,0.0,100.0,100.0,0.0,2.670841775649291,97.3291582243507,0.0,0.0,2.670841775649291,97.3291582243507,0.0,576.9742691479418,42.6,25.38,58.3,94.80882978361468,14.60624783616076,1414.703783930535,2.245255209603259,2.359,0.0714,0.1782,0.0028,2.9761,0.0001,0.006,0.3576,-19.75355245773451,0.7534,0.0811,0.4854,0.1368,3.0866,0.9928660071577964,0.2107,0.5390715036013379,0.1631484613855877,1.4057,-53.55003762227238,0.7314,0.0307,0.0001,0.004,0.0379,0.9201,0.0014,0.0185,0.0961,-21.21082377119369,-39.26790857122969
ALB,Albania,2000,1991.914358671158,6153077235.622891,7.46285871776054,41.741,0.7424786292851772,109.71117401123067,71.0360844930013,15.154200236002634,-0.637356833943492,3089027.0,0.0,96.1,99.4,0.0,3.850983675177898,96.1490163248221,0.0,0.0,3.850983675177898,96.1490163248221,0.0,581.374748988005,41.4,22.06,58.78,88.33282306273523,14.36494214656208,1449.647413246955,2.324259386531746,2.3928,0.07,0.1755,0.0028,3.0036,0.0001,0.0057,0.3563,-19.01205274085258,0.7679,0.1011,0.4722,0.1174,3.2325,1.046446016820183,0.2845,0.5253468916797639,0.1589947465200083,1.4712,-51.35440180586907,0.7438,0.0306,0.0001,0.0039,0.0389,0.9349,0.0015,0.0187,0.0975,-19.94348347319746,-37.53034429353264
ALB,Albania,2001,2188.918544513751,6698469429.12028,8.863730660487604,42.435,0.7104426175981506,110.02504730224634,72.78750101725261,15.771880467732768,-0.93847042771206,3060173.0,0.0037533512064343,96.3,99.4,0.0,4.691689008042895,95.3083109919571,0.0,0.0,4.691689008042895,95.31206434316354,140000.0,598.2283171182805,39.0,16.77,61.02,82.71303819900743,13.98228241157515,1351.230796428829,2.407510947910461,2.3545,0.0697,0.1771,0.0028,2.9753,0.0001,0.0058,0.3651,-19.77512335858926,0.8009,0.077,0.5362,0.1808,3.4393,1.123890708139703,0.2736,0.513445651486938,0.1553928699357921,1.5466,-48.24228743416102,0.7415,0.0313,0.0001,0.004,0.0391,0.9345,0.0016,0.0184,0.0986,-19.97773591368385,-35.89719048820596
ALB,Albania,2002,2297.108535139244,7008501111.795186,4.628395873945522,43.501,2.181208904411263,110.338920593262,74.5389175415039,16.3895606994629,-0.299876697084691,3051010.0,0.0072231139646869,96.6,99.4,0.0,6.046013911182451,93.95398608881756,0.0,0.0,6.046013911182451,93.96120920278224,270000.0,661.1179516320497,35.8,15.04,63.29,87.10318629410183,12.6901990503369,1578.16591882688,2.618608264148593,2.3091,0.0904,0.1809,0.0007,2.9621,0.0001,0.007,0.3732,-20.13104322269259,1.1738,0.1017,0.4292,0.1908,4.0064,1.313138927764904,0.2849,0.5716486215943233,0.1730078337349427,1.7724,-39.70805116629044,0.7949,0.0346,0.0001,0.0012,0.0416,0.9947,0.0014,0.0203,0.1006,-14.82274362048296,-30.48524767034134
ALB,Albania,2003,2428.689346535625,7382282996.759232,5.333264260099455,44.573,2.060274181814572,107.598258972168,77.751823425293,16.3662395477295,-0.374149169291299,3039616.0,0.0054086538461538,96.8,99.4,0.0,2.143429487179487,97.85657051282053,0.0,0.0,2.143429487179487,97.86197916666669,270000.0,649.3578811073504,33.7,21.38,64.59,80.91867367464069,10.03037306840596,1469.26453867857,2.690603023539816,2.341,0.0613,0.1843,0.0016,2.9779,0.0,0.007,0.3814,-19.70501793081133,1.0463,0.1899,0.5035,0.3355,4.2112,1.385438160609761,0.1734,0.5704468389858105,0.1726441176375625,1.9221,-36.62603461249059,0.7527,0.0326,0.0003,0.0024,0.0418,0.9531,0.0007,0.0206,0.102,-18.38499743106696,-28.84078273050788
ALB,Albania,2004,2567.297636871214,7771053341.653316,5.266261738607852,45.651,1.971798937420679,104.131721496582,78.9801864624023,19.1295795440674,-0.417931377925999,3026939.0,0.0048162682839814,97.1,99.4,0.0,2.497324295397788,97.5026757046022,0.0,0.0,2.497324295397788,97.5074919728862,270000.0,716.6231458847667,35.8,21.73,65.64,84.4794772326497,10.74114447417391,1797.525486968849,2.770818969262347,2.2458,0.0814,0.1921,0.0008,2.9182,0.0,0.0075,0.3894,-21.31474640709682,0.8853,0.1115,0.551,0.3297,4.414,1.458238834677541,0.168,0.5680053663176771,0.1719052128602557,2.3065,-33.57411587659895,0.8212,0.0161,0.0002,0.0015,0.0459,1.0077,0.0002,0.0198,0.1029,-13.70953930467546,-27.02491059853304
